Timestamp,GyroX,GyroY,GyroZ,AccX,AccY,AccZ
12:01.4,0.010116112,-0.045149527,-0.118538924,0.103805341,-0.060882442,-0.993637085
12:01.4,0.027050354,-0.061343674,-0.012030859,0.108535565,-0.06480395,-1.011352539
12:01.4,0.085644215,0.009127871,-0.030748423,0.055801146,-0.062179409,-0.994659483
12:01.4,0.074828997,-0.032552153,-0.048399385,0.095077246,-0.063476391,-0.994064331
12:01.5,0.050251197,-0.034860048,-0.068746865,0.090285949,-0.060790814,-1.000671446
12:01.5,0.007355489,-0.050406825,-0.067215085,0.084975861,-0.072936781,-1.002594054
12:01.5,-0.017720692,-0.035181358,-0.067842662,0.076995485,-0.073241942,-0.999130249
12:01.5,-0.031987183,-0.093639337,0.012518892,0.117934808,-0.097610235,-1.005706847
12:01.5,0.042046145,-0.063398033,0.008330472,0.078322977,-0.052810401,-0.990982115
12:01.5,0.06236428,-0.08027254,-0.027970675,0.086623751,-0.055236526,-0.983749449
12:01.5,0.001124051,-0.015073028,-0.043336585,0.079085886,-0.063354187,-0.994277954
12:01.5,-0.035140868,-0.007535483,-0.062154084,0.078551814,-0.061019577,-0.993026793
12:01.5,-0.015786961,-0.019486953,-0.084816515,0.084777378,-0.056396157,-0.98059088
12:01.5,0.000861883,-0.007415685,-0.056931686,0.078902729,-0.066039696,-0.984771788
12:01.5,0.018857827,-0.00560376,-0.028197244,0.074386105,-0.067290902,-1.000595152
12:01.5,0.002222165,-0.000556003,-0.035653297,0.074080929,-0.060805924,-0.989654541
12:01.6,-0.020033309,-0.014033508,-0.036446854,0.080947362,-0.066405885,-0.978866637
12:01.6,-0.009870789,-0.011481224,-0.061147407,0.066817723,-0.060989007,-0.999099791
12:01.6,-0.018225268,-0.004490602,-0.066989981,0.06553597,-0.060805894,-1.002319396
12:01.6,-0.013551871,-0.001966103,-0.059620615,0.07092233,-0.074706659,-0.986557066
12:01.6,0.020020368,-0.0099373,-0.06527371,0.07086125,-0.061050013,-1.002227843
12:01.6,-0.005866685,-0.005099489,-0.065686494,0.07168524,-0.069015093,-1.002533019
12:01.6,-0.033879083,-0.030132849,-0.054740109,0.079833418,-0.065505564,-0.995575011
12:01.6,-0.024129383,-0.048543502,-0.060826428,0.071425788,-0.062408,-0.997772276
12:01.6,-0.031288922,-0.040547807,-0.065603077,0.068404533,-0.05853226,-0.997970641
12:01.6,-0.052153163,-0.022115134,-0.060586013,0.069259003,-0.073134899,-0.983932555
12:01.6,-0.031554554,-0.013908251,-0.069457136,0.072402291,-0.061797615,-0.995407164
12:01.6,0.01404364,-0.029656939,-0.068107709,0.076186456,-0.051284298,-1.011550963
